Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
20/7/08,Perth,1.2,17,0,1.8,7.8,NE,20,NE,SSE,7,6,97,52,1030.1,1028.5,1,6,7.5,15.6,No,0,No
21/7/08,Perth,3.1,17.1,0,1.2,4.7,NNE,28,NE,E,2,6,94,49,1031.1,1027.4,6,5,9.1,16.6,No,0,No
22/7/08,Perth,3.3,18.9,0,1.2,7.5,NE,37,NE,N,11,15,80,40,1024.8,1020.2,7,7,8.9,17.9,No,0,No
23/7/08,Perth,8.9,17.4,0,2.8,0,N,43,N,NNW,15,7,68,97,1013.6,1013.2,7,8,14.9,14.9,No,19.2,Yes
24/7/08,Perth,9.3,18.3,19.2,3.8,8.3,W,33,WNW,WSW,7,15,65,57,1018,1017.6,3,4,15.6,17.4,Yes,0,No
25/7/08,Perth,7.4,17,0,2.6,1.9,NE,28,E,SW,7,19,84,88,1017.7,1014.1,7,8,12.1,14,No,12.6,Yes
26/7/08,Perth,7.8,19.3,12.6,1.8,9.4,SE,52,E,N,4,2,99,50,1017.8,1015.2,1,2,9,19.2,Yes,4,Yes
27/7/08,Perth,9,20.8,4,2,1.3,NNE,39,NE,W,11,11,94,87,1009.7,1007.9,8,7,13.4,18.3,Yes,5.4,Yes
28/7/08,Perth,11.8,15.9,5.4,1.6,2.2,WSW,44,N,W,11,15,97,81,1008.2,1007.5,7,7,14.6,14.7,Yes,11.6,Yes
29/7/08,Perth,9.7,18,11.6,2,3.7,WNW,39,NNE,WNW,7,11,93,86,1012.3,1008.4,5,7,12.5,15.3,Yes,30.6,Yes
30/7/08,Perth,12.4,16.2,30.6,3.2,5.7,WSW,54,W,W,19,24,61,45,1005.1,1005.5,4,6,14.4,15,Yes,3,Yes
31/7/08,Perth,6.7,14.1,3,4.2,0,SW,37,NNE,SSW,4,9,97,76,1015.2,1017,2,6,9.1,13.2,Yes,7.8,Yes
1/8/08,Perth,7.8,18.1,7.8,1,2,N,30,NNE,N,11,11,82,86,1021.6,1018.3,7,7,11.8,15,Yes,18.2,Yes
2/8/08,Perth,11.2,17.5,18.2,0.6,8.2,SW,46,SW,SSW,22,20,57,51,1017.3,1018,1,3,14.7,15.6,Yes,0.2,No
3/8/08,Perth,4.7,17.1,0.2,2.6,9.7,S,24,NNE,S,6,15,70,50,1027.5,1026.5,3,3,11.2,16.4,No,0,No
4/8/08,Perth,2.1,19.4,0,2,9.8,NE,22,ENE,NE,6,6,78,39,1033.2,1030.5,1,1,9.7,19.2,No,0,No
5/8/08,Perth,2.2,20.3,0,2.6,10,NE,20,ENE,SE,7,7,84,40,1034,1030.5,1,1,9.6,18.9,No,0,No
6/8/08,Perth,2.3,20.7,0,2.2,9.9,WSW,22,NA,WSW,0,13,74,NA,1030.7,1026.4,5,5,10.7,19.1,No,0,No
7/8/08,Perth,4.3,17.3,0,2.2,3.9,ESE,24,SE,ESE,11,9,NA,58,1029.1,1027.6,5,5,11.7,16.7,No,0,No
8/8/08,Perth,7,17.6,0,2,10,ENE,31,E,ENE,11,13,64,41,1031.7,1028.3,1,2,11.4,17.3,No,0,No
9/8/08,Perth,8.1,18,0,4.2,9.9,ESE,46,E,E,17,15,63,42,1030,1026.4,1,3,11.6,17.7,No,0,No
10/8/08,Perth,9.1,18.7,0,4.4,9.2,NNE,39,ENE,ENE,13,19,52,41,1028.6,1024.7,6,2,12.6,18.5,No,0,No
11/8/08,Perth,7.6,20.4,0,4.2,9,E,30,E,SE,9,9,57,33,1026.9,1023.5,6,1,11,20.3,No,0,No
12/8/08,Perth,4.9,17.5,0,4,7.2,SE,28,E,ESE,11,15,57,34,1030.4,1027.9,3,5,11.7,16.9,No,0,No
13/8/08,Perth,5.8,19.7,0,3,9.9,NNE,31,E,E,7,11,59,27,1031.8,1028.7,1,1,12.2,18.9,No,0,No
14/8/08,Perth,3.3,21.3,0,3.4,10,NE,33,NE,ENE,13,13,49,25,1030.1,1026.4,0,1,13.3,20.3,No,0,No
15/8/08,Perth,3.3,23.1,0,4.4,10.2,NNW,30,NE,SW,11,9,53,21,1028.1,1025.1,6,2,11.9,22.2,No,0,No
16/8/08,Perth,3.1,23.9,0,2.4,10.5,NNE,30,NE,NW,13,9,39,17,1029.5,1027.6,0,4,14.9,23.6,No,0,No
17/8/08,Perth,2.5,24.2,0,3.4,10.5,N,28,NE,WSW,15,7,41,21,1032.5,1029.9,0,1,14.7,22.9,No,0,No
18/8/08,Perth,1.8,22.5,0,3.8,10.4,NNW,39,NNE,WNW,13,17,44,11,1029.5,1025.8,0,3,13.2,22.1,No,0,No
19/8/08,Perth,5.5,18.2,0,4,0.2,SE,30,SSE,SSE,4,11,77,75,1025.9,1024.4,7,7,11.7,17,No,0.2,No
20/8/08,Perth,6.9,17.4,0.2,1,10.2,E,37,SE,SE,19,19,NA,38,1034,1031.9,1,4,10.9,16.6,No,0,No
21/8/08,Perth,8.5,17.6,0,4.6,10.2,ESE,43,E,ESE,15,15,55,35,1038,1034.3,7,1,12.3,17,No,0,No
22/8/08,Perth,5.5,19.1,0,3,10.5,NE,41,E,ENE,7,17,58,33,1034.8,1029.3,2,2,11.5,18.7,No,0,No
23/8/08,Perth,3.4,21.4,0,4.4,10.5,NE,31,NE,NE,19,9,44,28,1026.6,1021.8,1,1,13.3,21,No,0,No
24/8/08,Perth,3.8,21.3,0,3.4,6,SW,22,NA,SW,0,9,51,55,1018.8,1016.6,7,7,12.8,18.6,No,0,No
25/8/08,Perth,5,20.1,0,1.6,10.3,SSW,30,E,SSW,6,15,79,59,1022.4,1020.8,3,4,12.8,18.8,No,0,No
26/8/08,Perth,6.8,21.2,0,3.2,10.4,E,22,E,ESE,11,11,67,42,1024.8,1019.5,1,0,12.1,20.6,No,0,No
27/8/08,Perth,8.7,24.1,0,5.4,9.2,NNE,30,ENE,ENE,9,9,53,37,1017.3,1013.1,1,3,16,23.2,No,0,No
28/8/08,Perth,7.1,21.7,0,3.2,6.3,SSW,26,NNE,WSW,7,13,79,57,1014.9,1011.6,5,6,12.6,20.2,No,1.2,Yes
29/8/08,Perth,9.5,18.7,1.2,2,9,SSW,41,SSE,SW,7,20,81,54,1014,1013.3,3,4,14.7,16.8,Yes,0.2,No
30/8/08,Perth,3.8,16.9,0.2,3.6,9.9,SW,35,SE,SW,13,19,52,41,1023.1,1022.4,1,4,11.7,15.9,No,0,No
31/8/08,Perth,8.7,18.5,0,3.2,1,WSW,30,N,W,7,15,68,51,1025.1,1022.7,7,7,12.3,16.9,No,3.4,Yes
1/9/08,Perth,10.9,18.9,3.4,2.6,3.8,SSE,20,NNE,SW,7,9,97,61,1024.8,1023.1,7,6,12.5,18.9,Yes,0.2,No
2/9/08,Perth,5.4,22.9,0.2,2.8,10.7,SW,22,E,WSW,6,6,81,43,1024.9,1022,1,3,14.1,21.1,No,0,No
3/9/08,Perth,8.1,NA,0,3.6,10.4,SW,28,ENE,WSW,9,17,54,26,1023.1,1020.2,1,5,17.2,24.1,No,0,No
4/9/08,Perth,11.3,19.4,0,3.8,9.8,SSW,39,S,SW,15,19,62,47,1022.5,1018.9,1,2,15.2,18.6,No,1.2,Yes
5/9/08,Perth,9.8,21.6,1.2,4.2,10.6,SW,41,S,SW,11,24,69,57,1021.9,1018.8,1,1,15,19.5,Yes,0,No
6/9/08,Perth,9.7,19.4,0,4.6,10.7,SSE,28,SE,SSE,11,17,58,32,1024.1,1021.5,1,0,13.4,18.7,No,0,No
7/9/08,Perth,5.7,20.1,0,4.4,10.5,SSW,35,ENE,SW,9,11,57,41,1026,1021.9,1,1,13.5,19.2,No,0,No
8/9/08,Perth,5.3,22.4,0,5.6,10.1,SW,30,E,SW,7,15,61,37,1022.8,1018.1,6,5,13.9,20.7,No,0,No
9/9/08,Perth,4.6,21.3,0,2.8,10.6,SW,30,NNE,WSW,4,17,68,44,1018.7,1016.4,1,1,14.1,20.4,No,0,No
10/9/08,Perth,7.7,18.9,0,3.6,2.9,NW,31,NW,WNW,7,17,79,46,1017.7,1015.6,7,6,13.4,18.1,No,0.8,No
11/9/08,Perth,13.4,20.5,0.8,2.6,7,WSW,46,WSW,WSW,19,20,71,62,1014.1,1012.5,3,4,17.3,18.9,No,0.4,No
12/9/08,Perth,15.2,20.9,0.4,4.4,3.3,WNW,52,W,NW,11,19,60,87,1011.4,1007.9,7,6,17,15.9,No,6,Yes
13/9/08,Perth,11.8,17.6,6,4.2,5.2,SW,59,SW,SW,17,17,73,55,1013.5,1014.6,5,7,14,17.1,Yes,0,No
14/9/08,Perth,13.6,19.6,0,5.2,4.7,WSW,54,W,SW,22,26,64,57,1015.5,1016,7,6,16.3,18.6,No,1.2,Yes
15/9/08,Perth,6.2,20.3,1.2,2.8,8.6,N,26,E,NNE,9,9,55,34,1023,1019.1,5,6,14.1,19.8,Yes,0,No
16/9/08,Perth,4.7,22.5,0,2.2,10.3,WSW,30,NNE,WSW,6,15,50,38,1012.2,1008,1,1,15.6,20.9,No,8.2,Yes
17/9/08,Perth,11.6,19,8.2,4.4,5.4,SSW,41,W,WSW,17,13,90,83,1007.8,1010.4,7,5,16,16.2,Yes,1.8,Yes
18/9/08,Perth,13.2,20,1.8,4,5.5,WNW,56,NW,W,22,20,58,67,1010.8,1011.8,5,4,18.9,19.5,Yes,4,Yes
19/9/08,Perth,13.8,20.5,4,2.6,4,WSW,44,W,W,19,19,56,51,1016.8,1017.4,7,6,17.2,19,Yes,0.2,No
20/9/08,Perth,9.5,21.7,0.2,3,7.3,NW,31,W,WNW,11,11,58,51,1021.2,1018.3,5,6,18.6,21,No,3.4,Yes
21/9/08,Perth,13,17,3.4,4.8,4.4,SW,67,W,S,17,20,77,51,1010.4,1016.5,7,5,16.9,13.6,Yes,5.4,Yes
22/9/08,Perth,1,19,5.4,1.6,11.1,E,37,ENE,SE,9,13,57,34,1028.8,1024.8,0,1,11.2,17.9,Yes,0,No
23/9/08,Perth,5.7,23.5,0,3.4,9.3,NE,50,NE,NNE,19,17,39,23,1022.8,1016.9,1,6,16.5,23,No,0,No
24/9/08,Perth,11.3,25.5,0,5.2,9.9,WNW,50,N,NW,15,26,36,67,1011.5,1010.3,1,2,21.5,22,No,21,Yes
25/9/08,Perth,15.2,16.5,21,5.6,0,N,39,NA,S,0,13,93,92,1010.5,1010.6,8,7,16.3,14.4,Yes,14.2,Yes
26/9/08,Perth,10.2,18.2,14.2,2.2,1.3,SSW,33,ESE,S,13,15,71,57,1016.5,1014.6,6,7,14.3,17.2,Yes,0,No
27/9/08,Perth,7.6,18.9,0,2,3.9,WSW,33,N,WSW,9,20,57,43,1023.8,1022.4,7,6,13.7,18,No,0.2,No
28/9/08,Perth,12.3,21.6,0.2,2.6,9.7,SW,28,NNE,WSW,15,15,70,54,1024.4,1021.4,2,2,17.6,20.4,No,0,No
29/9/08,Perth,8.2,24.6,0,3.8,11,WSW,33,N,W,2,13,67,37,1018.1,1011.3,1,1,17.6,23.5,No,4.2,Yes
30/9/08,Perth,11.8,19.1,4.2,4.4,6,WSW,44,WSW,SW,19,19,63,71,1010.8,1011.7,4,7,17.8,17.6,Yes,0.6,No
1/10/08,Perth,13,19.9,0.6,4.8,1.3,WNW,37,WNW,WNW,13,15,61,66,1013,1011.3,7,7,18.3,19.1,No,5,Yes
2/10/08,Perth,12.9,18.4,5,3.4,8.3,SW,41,S,SSW,13,22,87,44,1015.9,1016.9,6,3,13.5,17.4,Yes,0,No
3/10/08,Perth,4.8,19.4,0,2.6,8.6,WSW,31,E,WSW,9,17,50,49,1024.6,1022.3,2,5,14.9,18,No,0.4,No
4/10/08,Perth,9,19.6,0.4,3.6,9.3,SW,52,WSW,SW,17,26,64,77,1021.5,1021.8,5,5,16.7,14.4,No,0.4,No
5/10/08,Perth,3.4,19,0.4,4.6,11.1,SSW,35,SSE,SSE,17,13,44,35,1031.1,1028.5,5,3,13.4,18.2,No,0,No
6/10/08,Perth,7.4,20.5,0,5.2,11.1,SE,30,ENE,SE,13,13,57,34,1033.5,1029.3,2,5,15.7,19.5,No,0,No
7/10/08,Perth,7.4,21.9,0,4.8,11.4,SSW,35,E,SSW,15,19,50,40,1031.4,1027.6,1,1,15.8,20.4,No,0,No
8/10/08,Perth,7.8,26.9,0,4.6,11.2,WSW,28,NE,SW,17,15,48,23,1026.9,1021.2,0,0,18.4,25.8,No,0,No
9/10/08,Perth,7.4,22.6,0,4,11.4,SW,37,S,SW,13,24,59,50,1022.4,1020.7,1,1,18.7,21,No,0,No
10/10/08,Perth,11.1,25.6,0,7,11.5,E,28,E,SSW,13,15,56,44,1022.3,1018.4,1,3,18.3,23.4,No,0,No
11/10/08,Perth,9.7,20.6,0,4.4,6,W,28,SSE,W,11,13,64,48,1019.6,1018.1,7,7,16.7,19.7,No,0,No
12/10/08,Perth,13.1,20.5,0,4,9.2,SW,41,SSW,SSW,11,20,66,37,1022,1022.2,5,3,16.6,18.8,No,0,No
13/10/08,Perth,6.3,22.1,0,7,10.9,SSW,39,E,SW,11,22,56,42,1026.6,1023.9,2,3,17.1,20.3,No,0,No
14/10/08,Perth,12.2,29.5,0,6,11.5,NNE,28,E,E,11,9,46,25,1023.3,1018.6,0,1,19.2,28.9,No,0,No
15/10/08,Perth,18.1,32.1,0,7.2,11.7,NE,41,NNE,NW,24,15,25,46,1011.7,1011.2,6,1,26.9,25.2,No,0,No
16/10/08,Perth,15.7,22.3,0,6.4,5.9,SW,37,SW,SSW,17,17,68,57,1014.6,1013,7,5,19.1,21,No,0,No
17/10/08,Perth,14.8,22,0,5.4,9.5,SW,33,S,SSW,9,20,56,51,1018.3,1017.4,6,1,18.2,20.2,No,0,No
18/10/08,Perth,15.7,25.8,0,5.2,11.8,SW,33,SW,SW,13,15,58,49,1022.7,1020.7,4,1,20.8,25,No,0,No
19/10/08,Perth,12.8,33.5,0,8.2,11.9,ENE,35,E,E,13,11,52,23,1021.6,1017.2,1,2,21.5,33,No,0,No
20/10/08,Perth,21.3,35.7,0,9.6,8.9,N,48,NE,NNE,20,20,29,18,1014.9,1012.2,7,6,28.7,34.9,No,0,No
21/10/08,Perth,17.9,32.7,0,7,8.8,WSW,33,N,WSW,6,17,36,39,1012.9,1011.2,4,6,27.9,26.4,No,0,No
22/10/08,Perth,16.5,30.1,0,5.4,5.2,SW,41,SE,SW,7,26,67,69,1015.1,1015.9,5,8,22.9,22.2,No,0,No
23/10/08,Perth,18.4,31.1,0,4.6,3.2,NE,39,ENE,E,13,9,51,47,1014.1,1008.6,6,7,25.2,28.9,No,5,Yes
24/10/08,Perth,18,23,5,3.6,4.5,WNW,63,NNW,NW,9,17,94,65,1009.8,1008,8,5,18.8,21.9,Yes,20.4,Yes
25/10/08,Perth,13.2,20.5,20.4,4.6,7.1,WSW,43,SSW,SW,20,17,69,63,1016.8,1017.8,7,6,16.8,19,Yes,0.2,No
26/10/08,Perth,7.7,21.6,0.2,4.8,11.4,SW,30,ENE,SW,7,17,67,44,1019,1016.1,6,1,16,20.6,No,0,No
27/10/08,Perth,8.5,22.3,0,5,11.7,WSW,31,S,SW,13,15,58,44,1013.8,1010.9,1,1,16.9,22.1,No,0,No
28/10/08,Perth,15.4,20.3,0,6.2,1.1,SW,43,SW,SW,11,15,67,94,1005.2,1004.1,8,8,18,17.1,No,6.2,Yes
29/10/08,Perth,16.1,21.8,6.2,1.2,6.5,SSW,52,SSW,SW,17,28,77,56,1011,1013.2,7,7,17.7,21.2,Yes,0.2,No
30/10/08,Perth,10.3,19.5,0.2,5.2,11.6,SW,46,SSE,SW,9,17,68,43,1020.9,1020.8,6,3,14.3,18.7,No,0,No
31/10/08,Perth,10,22.5,0,6.4,11,SE,35,SE,SE,15,17,62,42,1025.7,1023.1,1,6,15,21.1,No,0,No
1/11/08,Perth,10.8,24.1,0,4.8,12.5,SW,35,ENE,N,15,9,57,29,1022.4,1018,1,1,16.3,23.3,No,0,No
2/11/08,Perth,9.1,25.9,0,6.4,12.4,SW,39,NE,SW,19,17,43,46,1013.7,1012,1,1,20.6,24,No,0,No
3/11/08,Perth,13.6,19.5,0,7.6,3.2,WNW,43,NNE,W,4,19,66,39,1013.8,1013.7,7,7,15.8,18.6,No,9.2,Yes
4/11/08,Perth,13.6,20.7,9.2,3.8,7.5,W,50,WSW,WSW,20,22,71,57,1014.9,1014.7,5,5,17.6,18.8,Yes,9,Yes
5/11/08,Perth,12.4,19.5,9,4.6,3.1,NW,50,WNW,SW,15,26,55,67,1011.2,1010.4,7,8,17,15.6,Yes,8.4,Yes
6/11/08,Perth,9.1,18.9,8.4,4.2,9,SSW,52,SW,SW,6,30,92,58,1014.3,1014.6,6,5,12.3,16.9,Yes,2.8,Yes
7/11/08,Perth,6.5,20,2.8,3.6,10.2,SW,35,SE,S,11,13,55,49,1023.3,1021.7,1,6,13.9,18.6,Yes,0,No
8/11/08,Perth,8.5,24.3,0,3.8,12.9,SW,37,E,SW,6,17,64,42,1022,1017.8,0,1,17.6,23.6,No,0,No
9/11/08,Perth,11.2,27.1,0,6.6,12.9,SW,35,SSW,SSW,11,17,70,58,1015,1011.9,5,6,18.9,24.5,No,0,No
10/11/08,Perth,14.2,26.3,0,6.2,12.2,NNE,44,SW,W,7,13,65,50,1011.9,1010,4,8,20.3,25.1,No,0,No
11/11/08,Perth,16.1,22.2,0,5.8,0.1,SW,28,ESE,SW,9,17,66,62,1011.4,1010.7,8,8,19.1,20.5,No,0,No
12/11/08,Perth,12.9,22.5,0,4,12.3,SW,39,SE,S,11,15,59,38,1014.1,1013.7,5,4,17.1,22.2,No,0,No
13/11/08,Perth,12.4,23.3,0,5.2,11.9,SSE,37,ESE,SSE,11,11,52,31,1019,1016.4,1,2,16.5,21.9,No,0,No
14/11/08,Perth,11.9,24.4,0,7.8,12.5,SE,43,E,ESE,17,13,49,28,1021.1,1017.4,3,3,16.2,23.6,No,0,No
15/11/08,Perth,12.4,25.8,0,8.4,12.9,SE,46,ESE,ESE,19,19,51,25,1021.6,1017.1,2,4,17,24.7,No,0,No
16/11/08,Perth,12.7,25.5,0,8.4,7.6,SE,43,E,E,19,11,48,32,1019,1014.3,4,6,16.5,24.6,No,0,No
17/11/08,Perth,13.7,26.8,0,8.8,11.4,SW,31,E,SE,13,13,50,35,1015.4,1012.8,4,5,18.3,24.1,No,0,No
18/11/08,Perth,13.6,25.9,0,7.4,12.3,SW,33,ESE,SW,13,17,52,37,1014.2,1011.1,0,6,18.1,24.7,No,0,No
19/11/08,Perth,11,29.5,0,6.6,12.3,WSW,31,NE,W,15,15,46,36,1008.1,1004.8,1,2,21.8,28.2,No,2.6,Yes
20/11/08,Perth,15.9,23.1,2.6,7,9.5,NW,37,W,W,13,17,73,53,1004,1004.6,4,5,19.8,22.6,Yes,0.6,No
21/11/08,Perth,11.8,24.4,0.6,6.4,10,WSW,31,NNE,W,7,17,69,46,1008.6,1007.7,2,4,19.6,23.1,No,0.2,No
22/11/08,Perth,13.6,23.6,0.2,4,6.8,N,33,NNE,WNW,13,2,64,89,1005.7,1003.7,2,7,19.3,16.8,No,17.4,Yes
23/11/08,Perth,14.8,22.2,17.4,3.4,8.6,SW,43,WSW,W,11,19,79,72,1002.1,1001.3,5,7,17.9,20,Yes,1.8,Yes
24/11/08,Perth,13.9,21.8,1.8,6.2,10.7,SSW,41,SSW,WSW,9,20,72,50,1007.9,1008,4,4,17.2,20.8,Yes,4,Yes
25/11/08,Perth,13.4,23.2,4,5.6,10.1,SW,30,S,SW,11,15,71,47,1011,1009.8,1,3,18,22.5,Yes,0.2,No
26/11/08,Perth,12.5,22.2,0.2,4.4,11.3,WSW,39,WSW,SW,11,20,61,50,1009,1008.9,3,5,19.4,20.9,No,1.4,Yes
27/11/08,Perth,14.5,22.4,1.4,6.6,12.2,WSW,44,SSW,SW,15,24,65,48,1013.1,1013.9,3,1,18.2,21.1,Yes,0.2,No
28/11/08,Perth,13.1,23.9,0.2,10.2,12.8,SW,31,SE,WSW,6,17,65,36,1020.1,1018.4,3,1,18.3,22.4,No,0,No
29/11/08,Perth,11.1,23.4,0,4.4,13.1,SW,35,SSE,SW,11,19,61,44,1018.7,1017.4,1,1,18.5,22.8,No,0,No
30/11/08,Perth,13.1,24.5,0,6.2,12.7,SSW,43,SE,SW,13,20,56,41,1018.8,1016,2,1,17.5,23,No,0,No
1/12/08,Perth,12.8,27.2,0,9,13,S,33,E,SSW,9,19,53,41,1016.4,1012.6,2,1,19.2,25.5,No,0,No
2/12/08,Perth,12.2,32.7,0,9,10.4,SW,28,SSE,SSW,9,7,55,23,1009.3,1004.9,6,2,20.7,31.9,No,0.4,No
3/12/08,Perth,18.3,23.1,0.4,6.2,7.5,WSW,41,SW,W,20,15,70,53,1002.5,1005.2,5,7,20.1,21.5,No,0.8,No
4/12/08,Perth,17,24.2,0.8,5.8,7.8,NW,35,WNW,WNW,15,17,67,52,1010.2,1011,6,5,19.9,22.8,No,0.4,No
5/12/08,Perth,15,23.4,0.4,5.2,13,S,39,S,SSW,13,19,60,44,1015.5,1015,3,4,18.8,22.6,No,0,No
6/12/08,Perth,14.1,27.6,0,7.2,13.3,SW,41,E,SSW,13,19,55,41,1017.4,1013.7,1,1,19,26,No,0,No
7/12/08,Perth,12.6,27.6,0,8,12.9,SW,41,SE,SW,9,19,49,45,1010.2,1007.4,1,1,20.3,24.5,No,0,No
8/12/08,Perth,14.7,22.7,0,10.2,11.7,SW,43,SSW,SW,13,22,50,51,1010.5,1010.5,2,7,19.5,21.3,No,0,No
9/12/08,Perth,12.6,22.5,0,7,11.1,SW,33,SSE,WSW,2,19,57,41,1011.4,1010.8,6,4,18.5,21.5,No,3.2,Yes
10/12/08,Perth,12.7,21.9,3.2,6.4,5.1,SSW,37,NNW,S,6,17,93,58,1011.4,1010.8,7,7,13.1,18.4,Yes,4.2,Yes
11/12/08,Perth,12.9,24.2,4.2,3.8,13.1,SW,44,SSE,SW,17,22,68,50,1015,1013.5,5,4,16.7,23.1,Yes,0,No
12/12/08,Perth,14,25.8,0,6.8,13.1,SSW,39,SE,SW,4,22,63,47,1017.3,1015.9,1,1,19.1,23.8,No,0,No
13/12/08,Perth,15.6,31.5,0,6.8,13.3,SSW,35,SSE,SW,9,17,55,29,1019.5,1016.7,0,1,22.4,30.5,No,0,No
14/12/08,Perth,18.8,38.4,0,10,13.2,N,37,ENE,WSW,17,15,47,16,1014.6,1011.1,0,1,27.2,38,No,0,No
15/12/08,Perth,19.8,26.7,0,10.4,8,SW,44,WNW,SW,9,20,83,53,1011,1010.7,8,1,20.7,26.1,No,0,No
16/12/08,Perth,17.6,26.2,0,8.4,9.4,SSW,44,ESE,SSW,11,22,59,44,1014.7,1012.5,7,1,19.8,25.1,No,0,No
17/12/08,Perth,14.5,25.4,0,8,13.4,SW,46,E,SSW,7,26,50,47,1017.3,1015.9,1,0,20,23,No,0,No
18/12/08,Perth,15.6,31.6,0,9.2,12.9,SSW,35,E,SW,15,11,48,29,1015.9,1011.5,0,2,20.2,30.7,No,0,No
19/12/08,Perth,14.2,29.1,0,9.2,12.6,SSW,35,SSW,SSW,9,19,62,48,1007.8,1004.6,0,0,21.5,27.3,No,0.6,No
20/12/08,Perth,18.3,23.1,0.6,8,9.2,WSW,48,W,W,17,22,77,56,1005.6,1007.6,6,5,19.9,22,No,2,Yes
21/12/08,Perth,16,23.6,2,9.2,8.7,SSW,41,SSE,SW,15,24,58,36,1014.4,1012.8,7,6,17.8,22.7,Yes,0,No
22/12/08,Perth,13.6,28,0,6.6,13.1,SSW,41,E,SW,11,24,57,43,1014.1,1011.3,1,1,20,25.4,No,0,No
23/12/08,Perth,14.5,25.2,0,8.2,12.7,SW,50,SSE,SW,13,28,60,51,1011.3,1010.4,1,5,19.3,23.5,No,0,No
24/12/08,Perth,15.1,27.1,0,8,12.2,SSW,43,ESE,SW,11,22,52,48,1013.2,1010.7,4,3,20.7,25.2,No,0,No
25/12/08,Perth,14.3,26.6,0,9.4,13.2,SW,46,SSE,SSW,15,26,62,45,1012.5,1011.5,1,0,18.3,24.7,No,0,No
26/12/08,Perth,14.7,26.4,0,9.2,13.2,SSW,41,S,SW,11,20,63,44,1014.7,1012.4,0,0,19.2,25.2,No,0,No
